epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125498800,0,920.625,-57,0.681087469821225,-39
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125513305,0,920.625,-57.5,0.625864161457342,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125523934,0,920.625,-57.5,0.656543777215054,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125536546,0,920.625,-57,0.601320468851171,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125542985,0,920.625,-57,0.607456392002714,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125554530,0,920.625,-57,0.601320468851171,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125569212,0,920.625,-57,0.662679700366597,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125576803,0,920.625,-57.5,0.687223392972767,-26.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125590910,0,920.625,-57,0.576776776245001,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125600592,0,920.625,-57,0.527689391032661,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125611283,0,920.625,-57,0.711767085578938,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125624744,0,920.625,-57,0.644271930911969,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125635535,0,920.625,-57,0.582912699396544,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125644568,0,920.625,-57.5,0.625864161457342,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125657796,0,920.625,-57,0.582912699396544,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125671518,0,920.625,-57.5,0.589048622548086,10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125681597,0,920.625,-57.5,0.613592315154257,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125691378,0,920.625,-57,0.607456392002714,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125701779,0,920.625,-57,0.607456392002714,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125713774,0,920.625,-57,0.662679700366597,-26.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125723686,0,920.625,-57.5,0.601320468851171,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125736469,0,920.625,-57,0.558369006790373,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125749906,0,920.625,-57,0.650407854063512,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125760355,0,920.625,-57,0.632000084608884,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125773027,0,920.625,-57,0.558369006790373,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125784205,0,920.625,-57.5,0.656543777215054,-14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125793723,0,920.625,-57.5,0.69335931612431,-26.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125819793,0,920.625,-57.5,0.607456392002714,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125828215,0,920.625,-57.5,0.570640853093458,8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125841420,0,920.625,-57,0.521553467881118,13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125850033,0,920.625,-57,0.613592315154257,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125862752,0,920.625,-57.5,0.576776776245001,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125874902,0,920.625,-58,0.687223392972767,-39.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125886773,0,920.625,-57.5,0.589048622548086,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125896147,0,920.625,-57.5,0.576776776245001,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125906789,0,920.625,-57.5,0.607456392002714,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125918466,0,920.625,-57.5,0.650407854063512,-32.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125931578,0,920.625,-57,0.601320468851171,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125943517,0,920.625,-57,0.570640853093458,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125955235,0,920.625,-57,0.570640853093458,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125963978,0,920.625,-57,0.576776776245001,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125976909,0,920.625,-57,0.66881562351814,-32.5
